Gujarat,Surat,Surat,Lemon,Other,FAQ,06/02/2024,2000,6000,4000
Gujarat,Surat,Surat,Papaya (Raw),Other,FAQ,06/02/2024,400,900,650
Gujarat,Surendranagar,Chotila,Cotton,Shanker 6 (B) 30mm FIne,FAQ,06/02/2024,6000,7000,6620
Gujarat,Surendranagar,Dhragradhra,Corriander seed,Coriander Seed,FAQ,06/02/2024,8325,8325,8325
Gujarat,Surendranagar,Dhragradhra,Sesamum(Sesame,Gingelly,Til),White,FAQ,06/02/2024,10575,12500,11537
Gujarat,Surendranagar,Dhragradhra,Wheat,PBW-373,FAQ,06/02/2024,2750,2775,2762
Gujarat,Surendranagar,Vadhvan,Banana - Green,Banana - Green,FAQ,06/02/2024,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,Coriander(Leaves),Coriander,FAQ,06/02/2024,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,Drumstick,Drumstick,FAQ,06/02/2024,3000,3500,3250
Gujarat,Surendranagar,Vadhvan,Onion Green,Onion Green,FAQ,06/02/2024,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Papaya,Papaya,Medium,06/02/2024,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Sweet Potato,Sweet Potato,FAQ,06/02/2024,3000,3500,3250
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,FAQ,06/02/2024,500,1000,750
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,FAQ,06/02/2024,2500,3500,3000
Gujarat,Vadodara(Baroda),Padra,Pegeon Pea (Arhar Fali),Other,FAQ,06/02/2024,5000,6000,5500
Haryana,Kaithal,Cheeka,Cabbage,Other,FAQ,06/02/2024,1800,2000,1900
Haryana,Kaithal,Dhand,Tomato,Deshi,FAQ,06/02/2024,1500,1800,1700
Haryana,Kurukshetra,Pehowa,Tomato,Other,FAQ,06/02/2024,1456,1952,1900
Haryana,Mewat,Punhana,Brinjal,Other,FAQ,06/02/2024,2000,2000,2000
Haryana,Mewat,Punhana,Ginger(Green),Other,FAQ,06/02/2024,8000,8000,8000
Haryana,Mewat,Punhana,Grapes,Other,Medium,06/02/2024,3500,3500,3500
Haryana,Mewat,Punhana,Onion,Other,FAQ,06/02/2024,1400,1400,1400
Haryana,Mewat,Punhana,Potato,Other,FAQ,06/02/2024,700,700,700
Haryana,Mewat,Punhana,Raddish,Other,FAQ,06/02/2024,500,500,500
Haryana,Mewat,Taura,Brinjal,Other,FAQ,06/02/2024,3000,3000,3000
Haryana,Mewat,Taura,Cabbage,Other,FAQ,06/02/2024,1500,1500,1500
Haryana,Mewat,Taura,Capsicum,Capsicum,FAQ,06/02/2024,5000,5000,5000
Haryana,Mewat,Taura,Grapes,Other,Medium,06/02/2024,5000,5000,5000
Haryana,Mewat,Taura,Kinnow,Other,Medium,06/02/2024,2000,2000,2000
Haryana,Mewat,Taura,Potato,Potato,FAQ,06/02/2024,700,800,800
Haryana,Panchkula,Raipur Rai,Peas Wet,Other,FAQ,06/02/2024,1200,1500,1200
Haryana,Panipat,Samalkha,Capsicum,Capsicum,FAQ,06/02/2024,4000,4000,4000
Haryana,Panipat,Samalkha,Green Chilli,Green Chilly,FAQ,06/02/2024,4000,4000,4000
Haryana,Panipat,Samalkha,Onion,Local,FAQ,06/02/2024,1500,1500,1500
Haryana,Panipat,Samalkha,Peas Wet,Peas Wet,FAQ,06/02/2024,2000,2500,2500
Haryana,Panipat,Samalkha,Spinach,Spinach,FAQ,06/02/2024,2000,2000,2000
Haryana,Rewari,Kosli,Cabbage,Other,FAQ,06/02/2024,1500,1500,1500
Haryana,Rewari,Kosli,Carrot,Other,FAQ,06/02/2024,1000,1000,1000
Haryana,Rewari,Kosli,Onion,Other,FAQ,06/02/2024,1800,1800,1800
Haryana,Sirsa,kalanwali,Banana,Other,Medium,06/02/2024,2500,2500,2500
Haryana,Sirsa,kalanwali,Onion,Other,FAQ,06/02/2024,2000,2000,2000
Haryana,Sonipat,Ganaur,Bhindi(Ladies Finger),Bhindi,FAQ,06/02/2024,8000,9000,8500
Haryana,Sonipat,Ganaur,Carrot,Carrot,FAQ,06/02/2024,1200,1500,1400
Haryana,Sonipat,Ganaur,Coriander(Leaves),Coriander,FAQ,06/02/2024,2000,2500,2200
Haryana,Sonipat,Ganaur,Lemon,Lemon,FAQ,06/02/2024,6000,7000,6500
Haryana,Sonipat,Ganaur,Pumpkin,Pumpkin,FAQ,06/02/2024,1500,2000,1800
Haryana,Yamuna Nagar,Radaur,Banana,Other,Medium,06/02/2024,2500,3000,2800
Haryana,Yamuna Nagar,Radaur,Cauliflower,Other,FAQ,06/02/2024,800,1000,900
Haryana,Yamuna Nagar,Radaur,Guava,Other,Medium,06/02/2024,3000,3000,3000
Haryana,Yamuna Nagar,Radaur,Potato,Other,FAQ,06/02/2024,500,700,600
Haryana,Yamuna Nagar,Radaur,Raddish,Other,FAQ,06/02/2024,400,600,500
Haryana,Yamuna Nagar,Radaur,Tomato,Other,FAQ,06/02/2024,1400,1800,1500
Himachal Pradesh,Chamba,Chamba,Coriander(Leaves),Other,FAQ,06/02/2024,5000,5500,5250
Himachal Pradesh,Hamirpur,Hamirpur,Bhindi(Ladies Finger),Other,FAQ,06/02/2024,6500,7000,6700
Himachal Pradesh,Hamirpur,Hamirpur,Brinjal,Other,FAQ,06/02/2024,3500,3600,3550
Himachal Pradesh,Hamirpur,Hamirpur,Colacasia,Other,FAQ,06/02/2024,6000,6500,6200
Himachal Pradesh,Hamirpur,Hamirpur,Papaya,Other,Medium,06/02/2024,3500,4000,3800
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,06/02/2024,3000,3300,3100
Himachal Pradesh,Hamirpur,Hamirpur,Pineapple,Pine Apple,Medium,06/02/2024,4800,5000,4900
Himachal Pradesh,Hamirpur,Hamirpur,Pomegranate,Other,Medium,06/02/2024,10000,12000,11000
Himachal Pradesh,Hamirpur,Hamirpur,Tomato,Other,FAQ,06/02/2024,4000,4500,4250
Himachal Pradesh,Kangra,Kangra,Banana,Other,Medium,06/02/2024,4000,4500,4250
Himachal Pradesh,Kangra,Kangra,Ber(Zizyphus/Borehannu),Other,Medium,06/02/2024,4000,5000,4500
Himachal Pradesh,Kangra,Kangra,Brinjal,Other,FAQ,06/02/2024,3200,3300,3250
Himachal Pradesh,Kangra,Kangra,Carrot,Other,FAQ,06/02/2024,1700,1800,1750
Himachal Pradesh,Kangra,Kangra,Cauliflower,Other,FAQ,06/02/2024,2200,2500,2350
Himachal Pradesh,Kangra,Kangra,Coriander(Leaves),Other,FAQ,06/02/2024,5000,7000,6000
